{massXs[i]} {massYs[i]} {best_scores[i]} {best_sig2bkgs[i]} {best_sigEffs[i]} {best_bkgEffs[i]} {best_QCDEffs[i]} {best_TTBar_Effs[i]}
700 150 -1.0 0.0 nan 1.0 nan 1.0
1200 400 0.8800000000000001 19.733873579556935 0.38796299435011744 0.0 nan 0.0
1400 150 0.97 4842.59512931239 0.4715214689820453 0.0018954769805158657 nan 0.0018954769805158657
3000 100 0.79 35384.591104682244 0.8405950025556759 0.016577070035217627 nan 0.016577070035217627
700 400 -1.0 0.0 nan 1.0 nan 1.0
550 150 -1.0 0.0 nan 1.0 nan 1.0
2500 150 0.95 24075.465139083815 0.6344019945298609 0.0021865539149753988 nan 0.0021865539149753988
2000 95 0.94 20060.82046168757 0.6102837166923482 0.002107249915735826 nan 0.002107249915735826
550 400 -1.0 0.0 nan nan nan nan
3000 1800 -1.0 0.0 nan nan nan nan
1400 800 -1.0 0.0 nan nan nan nan
4000 500 -0.42999999999999994 45661.546847008074 0.9507439791565978 0.0 nan 0.0
2000 100 0.94 19810.13533525238 0.6079397781082543 0.002252460919361684 nan 0.002252460919361684
2000 1600 -1.0 0.0 nan nan nan nan
3000 200 0.98 30941.351870364713 0.46032567360585946 0.0 nan 0.0
4000 200 -0.55 63072.131640559564 0.9683430685000666 0.002384887250246406 nan 0.002384887250246406
700 70 -0.52 1.8306379785111626 1.0 0.24893946171343115 nan 0.24893946171343115
4000 3000 -1.0 0.0 nan nan nan nan
2500 90 0.94 32286.50506373742 0.6443093283043572 0.0015248079807866956 nan 0.0015248079807866956
1400 100 0.94 6408.118521277531 0.5297676486317598 0.0033873408218964693 nan 0.0033873408218964693
3500 1600 -1.0 0.0 nan nan nan nan
2000 300 0.97 13868.498153845145 0.5740606443181242 0.0006035183216304457 nan 0.0006035183216304457
3500 80 0.96 49219.59463172615 0.6560518388999659 0.0 nan 0.0
650 70 -1.0 0.0 nan 1.0 nan 1.0
1000 95 0.94 801.8508037397585 0.2878753181044898 0.0028090075504163584 nan 0.0028090075504163584
3500 70 0.8900000000000001 59286.294978580714 0.7964149471531718 0.0 nan 0.0
1000 90 0.94 756.3065293559231 0.28666887503639465 0.002925120707322457 nan 0.002925120707322457
2500 1200 -1.0 0.0 nan nan nan nan
4000 1600 -1.0 0.0 nan nan nan nan
800 70 -0.41000000000000003 7.474208909404312 1.0 0.0 nan 0.0
3000 90 0.9299999999999999 37550.36254491799 0.6899597692005206 0.004150572060900386 nan 0.004150572060900386
650 500 -1.0 0.0 nan nan nan nan
2000 1800 -1.0 0.0 nan nan nan nan
800 400 -1.0 0.0 nan 1.0 nan 1.0
300 60 -1.0 0.0 nan nan nan nan
3000 2600 -1.0 0.0 nan nan nan nan
1200 100 0.94 3180.1994303785295 0.4375304540756483 0.0035730057243858636 nan 0.0035730057243858636
2500 95 0.95 32008.33515022413 0.5974882086884873 0.0012071261793714907 nan 0.0012071261793714907
2000 1000 -1.0 0.0 nan nan nan nan
900 100 -0.36 97.14574915799588 0.5826340637329749 0.022331508632650793 nan 0.022331508632650793
700 200 0.7 1.2672765214395385 1.0 0.0 nan 0.0
4000 300 -0.4 57224.94363449993 0.9484295780857411 0.004290068443987336 nan 0.004290068443987336
3500 150 0.77 36167.258712310264 0.8842668858682835 0.030058435596784238 nan 0.030058435596784238
1000 800 -1.0 0.0 nan nan nan nan
4000 95 -0.53 61658.42539312664 0.9717181218593585 0.016651330755586047 nan 0.016651330755586047
3500 800 -1.0 72.88456517674562 1.0 nan nan nan
3500 1800 -1.0 0.0 nan nan nan nan
2500 1400 -1.0 0.0 nan nan nan nan
1600 1000 -1.0 0.0 nan nan nan nan
4000 90 0.8800000000000001 62838.51861173916 0.7878706347789484 0.0 nan 0.0
900 200 0.96 6.693611481543573 0.225280813790874 0.0020815458166323297 nan 0.0020815458166323297
900 90 -0.36 114.05776489673697 0.6029243870065356 0.02192191464094187 nan 0.02192191464094187
2000 600 -0.43999999999999995 17.907578724159237 0.9150018230034525 0.0 nan 0.0
550 70 -0.64 0.8565933339019811 1.0 0.6211153139935587 nan 0.6211153139935587
700 100 0.7 1.7400332258265871 0.5186322939975987 0.0 nan 0.0
4000 800 -1.0 1069.7076037443433 1.0 nan nan nan
3000 400 -0.39 30975.897912780812 0.9208885434686023 0.019745692232684357 nan 0.019745692232684357
3000 95 0.79 34899.23171536598 0.8488358269409083 0.018779220883641628 nan 0.018779220883641628
300 95 -1.0 0.0 nan nan nan nan
4000 1800 -1.0 0.0 nan nan nan nan
4000 600 -0.42999999999999994 33226.212527940916 0.9450845741231926 0.0 nan 0.0
3500 1400 -1.0 0.0 nan nan nan nan
